backend,case,or_time_ms,min_ms,max_ms,replicates,source_operation,source_files
WAH,A1311_B6554,18.7824,18.6714,18.7927,3,OR_op,raw/density_r1_A1311_B6554_wah.csv;raw/density_r2_A1311_B6554_wah.csv;raw/density_r3_A1311_B6554_wah.csv
EWAH,A1311_B6554,10.2127,10.1913,10.3285,3,OR_op,raw/density_r1_A1311_B6554_ewah.csv;raw/density_r2_A1311_B6554_ewah.csv;raw/density_r3_A1311_B6554_ewah.csv
Bitset-AVX512,A1311_B6554,1.75521,1.71638,1.782,3,OR_op,raw/density_r1_A1311_B6554_bitset_avx512.csv;raw/density_r2_A1311_B6554_bitset_avx512.csv;raw/density_r3_A1311_B6554_bitset_avx512.csv
Concise,A1311_B6554,45.7528,45.7336,45.8083,3,OR_op,raw/density_r1_A1311_B6554_concise.csv;raw/density_r2_A1311_B6554_concise.csv;raw/density_r3_A1311_B6554_concise.csv
DDC,A1311_B13107,1.45988,1.44546,1.50772,3,OR_op,raw/density_r1_A1311_B13107_ddc.csv;raw/density_r2_A1311_B13107_ddc.csv;raw/density_r3_A1311_B13107_ddc.csv
CRoaring,A1311_B13107,3.64328,3.62571,3.70111,3,OR_op_conv,raw/density_r1_A1311_B13107_croaring.csv;raw/density_r2_A1311_B13107_croaring.csv;raw/density_r3_A1311_B13107_croaring.csv
WAH,A1311_B13107,18.4966,18.4954,18.5,3,OR_op,raw/density_r1_A1311_B13107_wah.csv;raw/density_r2_A1311_B13107_wah.csv;raw/density_r3_A1311_B13107_wah.csv
EWAH,A1311_B13107,10.2296,10.1934,10.541,3,OR_op,raw/density_r1_A1311_B13107_ewah.csv;raw/density_r2_A1311_B13107_ewah.csv;raw/density_r3_A1311_B13107_ewah.csv
Bitset-AVX512,A1311_B13107,1.62175,1.60402,1.73066,3,OR_op,raw/density_r1_A1311_B13107_bitset_avx512.csv;raw/density_r2_A1311_B13107_bitset_avx512.csv;raw/density_r3_A1311_B13107_bitset_avx512.csv
Concise,A1311_B13107,44.8336,44.751,44.9369,3,OR_op,raw/density_r1_A1311_B13107_concise.csv;raw/density_r2_A1311_B13107_concise.csv;raw/density_r3_A1311_B13107_concise.csv
DDC,A1311_B19661,1.47806,1.46794,1.50259,3,OR_op,raw/density_r1_A1311_B19661_ddc.csv;raw/density_r2_A1311_B19661_ddc.csv;raw/density_r3_A1311_B19661_ddc.csv
CRoaring,A1311_B19661,3.65106,3.62612,3.70957,3,OR_op_conv,raw/density_r1_A1311_B19661_croaring.csv;raw/density_r2_A1311_B19661_croaring.csv;raw/density_r3_A1311_B19661_croaring.csv
WAH,A1311_B19661,7.46474,7.4278,7.51561,3,OR_op,raw/density_r1_A1311_B19661_wah.csv;raw/density_r2_A1311_B19661_wah.csv;raw/density_r3_A1311_B19661_wah.csv
EWAH,A1311_B19661,10.2422,10.23,10.4309,3,OR_op,raw/density_r1_A1311_B19661_ewah.csv;raw/density_r2_A1311_B19661_ewah.csv;raw/density_r3_A1311_B19661_ewah.csv
Bitset-AVX512,A1311_B19661,1.71728,1.46645,1.76257,3,OR_op,raw/density_r1_A1311_B19661_bitset_avx512.csv;raw/density_r2_A1311_B19661_bitset_avx512.csv;raw/density_r3_A1311_B19661_bitset_avx512.csv
