group,case,operation,native_cr_ms,same_run_delivered_cr_ms,historical_delivered_cr_ms,native_over_same_run_delivered,native_speedup_from_removing_delivery,delivery_overhead_ms,delivery_share_pct,same_run_delivered_over_historical,replicates,native_source_operation,delivered_source_operation
cluster,f64,NOT,0.301908,1.42232,1.46167,0.2122644693177344,4.711104044940843,1.120412,78.77355306822656,0.9730787387029904,3,NOT_op,NOT_op_conv
cluster,f64,COMP,1.32219,2.4663,2.47438,0.5361026639095,1.8653143648038482,1.14411,46.38973360905,0.996734535520009,3,COMP_op_native,COMP_op
cluster,f128,OR,0.191974,0.877901,0.881806,0.2186738595809778,4.573020304832946,0.6859270000000001,78.13261404190223,0.9955715883085396,3,OR_op,OR_op_conv
cluster,f128,AND,0.140798,0.708302,0.690523,0.1987824402585338,5.030625435020384,0.567504,80.12175597414662,1.025747151072448,3,AND_op,AND_op_conv
cluster,f128,NOT,0.27711,1.33355,1.34369,0.2077987327059353,4.812348886723683,1.05644,79.22012672940647,0.9924536165335754,3,NOT_op,NOT_op_conv
cluster,f128,COMP,0.883659,1.94694,1.98525,0.45387068938950353,2.2032707186822065,1.063281,54.61293106104964,0.9807026822818284,3,COMP_op_native,COMP_op
cluster,f256,OR,0.140425,0.745346,0.748684,0.18840243323235115,5.307787074951041,0.6049209999999999,81.15975667676489,0.9955415101698446,3,OR_op,OR_op_conv
cluster,f256,AND,0.121886,0.644504,0.646259,0.18911597135161304,5.287760694419376,0.522618,81.0884028648387,0.9972843705077994,3,AND_op,AND_op_conv
cluster,f256,NOT,0.25568,1.28767,1.29922,0.19856019011082032,5.036256257822278,1.03199,80.14398098891796,0.9911100506457721,3,NOT_op,NOT_op_conv
cluster,f256,COMP,0.620798,1.69673,1.72378,0.3658790732762431,2.733143470178706,1.075932,63.41209267237569,0.9843077422872988,3,COMP_op_native,COMP_op
cluster,f1024,OR,0.071608,0.584685,0.577366,0.1224727844907942,8.165079320746285,0.513077,87.75272155092057,1.012676534468604,3,OR_op,OR_op_conv
cluster,f1024,AND,0.053745,0.545672,0.54237,0.09849323403069976,10.152981672713741,0.49192700000000006,90.15067659693003,1.006088094843004,3,AND_op,AND_op_conv
cluster,f1024,NOT,0.204906,1.34963,1.2248,0.15182383319872853,6.5865811640459535,1.144724,84.81761668012714,1.1019186806009145,3,NOT_op,NOT_op_conv
cluster,f1024,COMP,0.35255,1.43113,1.37797,0.2463437982573211,4.059367465607716,1.07858,75.36562017426789,1.038578488646342,3,COMP_op_native,COMP_op
cluster,sorted,OR,0.000662,0.482827,0.482055,0.00137109150896698,729.345921450151,0.482165,99.86289084910331,1.0016014770098847,3,OR_op,OR_op_conv
cluster,sorted,AND,0.001308,0.479345,0.479248,0.0027287235707058586,366.4717125382263,0.47803700000000005,99.72712764292942,1.0002024004273362,3,AND_op,AND_op_conv
cluster,sorted,NOT,0.069904,1.07321,1.08258,0.06513543481704419,15.35262645914397,1.003306,93.48645651829558,0.9913447505034269,3,NOT_op,NOT_op_conv
cluster,sorted,COMP,0.069409,1.07537,1.08029,0.06454429638171048,15.493235747525537,1.0059609999999999,93.54557036182895,0.9954456673670958,3,COMP_op_native,COMP_op
density,A66_B66,OR,0.539325,1.47167,1.44699,0.36647142362078455,2.728725721967274,0.932345,63.35285763792154,1.0170560957574,1,OR_op,OR_op_conv
density,A66_B328,OR,0.874121,1.91836,1.95515,0.4556605642319481,2.1946160771792464,1.0442390000000001,54.4339435768052,0.9811830294350817,1,OR_op,OR_op_conv
density,A66_B655,OR,1.31935,2.52205,2.44677,0.5231260284292539,1.911585250312654,1.2027,47.68739715707461,1.030767092942941,1,OR_op,OR_op_conv
density,A66_B1311,OR,2.1007,3.57999,3.58215,0.5867893485735993,1.7041890798305328,1.4792900000000002,41.32106514264007,0.9993970101754533,1,OR_op,OR_op_conv
density,A66_B3277,OR,4.45373,7.37557,7.34277,0.603848922862911,1.65604336140718,2.9218399999999995,39.6151077137089,1.0044669790828258,1,OR_op,OR_op_conv
density,A66_B6554,OR,1.13712,2.53782,2.56304,0.4480696030451332,2.2317961165048543,1.4007,55.193039695486675,0.9901601223547037,1,OR_op,OR_op_conv
density,A66_B13107,OR,1.13766,2.54896,2.45705,0.44632320632728634,2.2405288047395535,1.4113000000000002,55.367679367271364,1.0374066461813964,1,OR_op,OR_op_conv
density,A66_B19661,OR,1.13588,2.53647,2.49097,0.4478192133161441,2.233043983519386,1.40059,55.21807866838559,1.0182659767078688,1,OR_op,OR_op_conv
density,A66_B26214,OR,1.13297,2.54042,2.48297,0.4459774368017887,2.242265902892398,1.40745,55.402256319821134,1.023137613422635,1,OR_op,OR_op_conv
