backend,density_A,density_B,or_time_ms
EWAH,20%,0.5%,9.98425
EWAH,20%,1%,13.4875
EWAH,20%,2%,10.5933
EWAH,20%,5%,6.25477
EWAH,20%,10%,5.55432
EWAH,20%,20%,5.53488
EWAH,20%,30%,5.63134
EWAH,20%,40%,5.60379
EWAH,20%,50%,5.5095
EWAH,30%,0.1%,3.37197
EWAH,30%,0.5%,9.98103
EWAH,30%,1%,13.5505
EWAH,30%,2%,10.5354
EWAH,30%,5%,6.25167
EWAH,30%,10%,5.57681
EWAH,30%,20%,5.63134
EWAH,30%,30%,5.55778
EWAH,30%,40%,5.56432
EWAH,30%,50%,5.54872
EWAH,40%,0.1%,3.39184
EWAH,40%,0.5%,10.0
EWAH,40%,1%,13.5241
EWAH,40%,2%,10.6021
EWAH,40%,5%,6.37525
EWAH,40%,10%,5.63554
EWAH,40%,20%,5.60379
EWAH,40%,30%,5.56432
EWAH,40%,40%,5.5438
EWAH,40%,50%,5.55964
EWAH,50%,0.1%,3.3131
EWAH,50%,0.5%,9.96716
EWAH,50%,1%,13.4671
EWAH,50%,2%,10.5342
EWAH,50%,5%,6.24749
EWAH,50%,10%,5.64438
EWAH,50%,20%,5.5095
EWAH,50%,30%,5.54872
EWAH,50%,40%,5.55964
EWAH,50%,50%,5.56455
Bitset-AVX512,0.1%,0.1%,1.35879
Bitset-AVX512,0.1%,0.5%,1.34329
Bitset-AVX512,0.1%,1%,1.346
Bitset-AVX512,0.1%,2%,1.3938
Bitset-AVX512,0.1%,5%,1.37531
Bitset-AVX512,0.1%,10%,1.32834
Bitset-AVX512,0.1%,20%,1.31791
Bitset-AVX512,0.1%,30%,1.33205
Bitset-AVX512,0.1%,40%,1.32256
Bitset-AVX512,0.1%,50%,1.34591
Bitset-AVX512,0.5%,0.1%,1.34329
Bitset-AVX512,0.5%,0.5%,1.32459
Bitset-AVX512,0.5%,1%,1.35882
Bitset-AVX512,0.5%,2%,1.31791
Bitset-AVX512,0.5%,5%,1.35612
Bitset-AVX512,0.5%,10%,1.3357
Bitset-AVX512,0.5%,20%,1.36685
Bitset-AVX512,0.5%,30%,1.34038
Bitset-AVX512,0.5%,40%,1.32123
Bitset-AVX512,0.5%,50%,1.32019
Bitset-AVX512,1%,0.1%,1.346
Bitset-AVX512,1%,0.5%,1.35882
Bitset-AVX512,1%,1%,1.38471
Bitset-AVX512,1%,2%,1.34923
Bitset-AVX512,1%,5%,1.336
Bitset-AVX512,1%,10%,1.35648
Bitset-AVX512,1%,20%,1.36849
Bitset-AVX512,1%,30%,1.32157
Bitset-AVX512,1%,40%,1.32903
Bitset-AVX512,1%,50%,1.33058
Bitset-AVX512,2%,0.1%,1.3938
Bitset-AVX512,2%,0.5%,1.31791
Bitset-AVX512,2%,1%,1.34923
Bitset-AVX512,2%,2%,1.37732
Bitset-AVX512,2%,5%,1.33351
Bitset-AVX512,2%,10%,1.34447
Bitset-AVX512,2%,20%,1.33834
Bitset-AVX512,2%,30%,1.33277
Bitset-AVX512,2%,40%,1.34712
Bitset-AVX512,2%,50%,1.31828
Bitset-AVX512,5%,0.1%,1.37531
Bitset-AVX512,5%,0.5%,1.35612
Bitset-AVX512,5%,1%,1.336
Bitset-AVX512,5%,2%,1.33351
Bitset-AVX512,5%,5%,1.33057
Bitset-AVX512,5%,10%,1.35747
Bitset-AVX512,5%,20%,1.34586
Bitset-AVX512,5%,30%,1.36828
Bitset-AVX512,5%,40%,1.32839
Bitset-AVX512,5%,50%,1.32422
Bitset-AVX512,10%,0.1%,1.32834
Bitset-AVX512,10%,0.5%,1.3357
Bitset-AVX512,10%,1%,1.35648
Bitset-AVX512,10%,2%,1.34447
Bitset-AVX512,10%,5%,1.35747
Bitset-AVX512,10%,10%,1.38143
Bitset-AVX512,10%,20%,1.32274
Bitset-AVX512,10%,30%,1.32129
Bitset-AVX512,10%,40%,1.33566
Bitset-AVX512,10%,50%,1.31667
Bitset-AVX512,20%,0.1%,1.31791
Bitset-AVX512,20%,0.5%,1.36685
Bitset-AVX512,20%,1%,1.36849
Bitset-AVX512,20%,2%,1.33834
Bitset-AVX512,20%,5%,1.34586
Bitset-AVX512,20%,10%,1.32274
Bitset-AVX512,20%,20%,1.30735
Bitset-AVX512,20%,30%,1.33894
Bitset-AVX512,20%,40%,1.35458
Bitset-AVX512,20%,50%,1.38033
Bitset-AVX512,30%,0.1%,1.33205
Bitset-AVX512,30%,0.5%,1.34038
Bitset-AVX512,30%,1%,1.32157
Bitset-AVX512,30%,2%,1.33277
Bitset-AVX512,30%,5%,1.36828
Bitset-AVX512,30%,10%,1.32129
Bitset-AVX512,30%,20%,1.33894
Bitset-AVX512,30%,30%,1.34601
Bitset-AVX512,30%,40%,1.31162
Bitset-AVX512,30%,50%,1.33206
Bitset-AVX512,40%,0.1%,1.32256
Bitset-AVX512,40%,0.5%,1.32123
Bitset-AVX512,40%,1%,1.32903
Bitset-AVX512,40%,2%,1.34712
Bitset-AVX512,40%,5%,1.32839
Bitset-AVX512,40%,10%,1.33566
Bitset-AVX512,40%,20%,1.35458
Bitset-AVX512,40%,30%,1.31162
Bitset-AVX512,40%,40%,1.32878
Bitset-AVX512,40%,50%,1.331
Bitset-AVX512,50%,0.1%,1.34591
Bitset-AVX512,50%,0.5%,1.32019
Bitset-AVX512,50%,1%,1.33058
Bitset-AVX512,50%,2%,1.31828
Bitset-AVX512,50%,5%,1.32422
Bitset-AVX512,50%,10%,1.31667
Bitset-AVX512,50%,20%,1.38033
Bitset-AVX512,50%,30%,1.33206
Bitset-AVX512,50%,40%,1.331
Bitset-AVX512,50%,50%,1.32311
Concise,0.1%,0.1%,4.06241
Concise,0.1%,0.5%,11.9164
Concise,0.1%,1%,23.401
Concise,0.1%,2%,38.5333
